,GeneID,Localization,sum(Expression_Corr),max(Expression_Corr),min(Expression_Corr),nb_rows_in_Genes,nb_rows_in_Interactions
0,G234064,cytoplasm,1.665679959,0.914095071,0.751584888,4,2.0
1,G234065,cytoplasm,1.762774829,0.939001091,0.823773738,8,2.0
2,G234070,cytoskeleton,0.0,0.0,0.0,6,0.0
3,G234073,cytoplasm,3.3686881590000004,0.749192312,0.358223557,2,6.0
4,G234074,cytoplasm,2.089604326,0.7002015429999999,0.370059063,12,4.0
5,G234076,nucleus,-0.536899911,-0.536899911,-0.536899911,3,1.0
6,G234084,cytoplasm,0.0,0.0,0.0,6,0.0
7,G234085,nucleus,-0.0811456929999999,0.026929321,-0.108075014,2,2.0
8,G234089,plasma membrane,0.7288042290000001,0.7288042290000001,0.7288042290000001,2,1.0
9,G234093,nucleus,-0.217734461,-0.217734461,-0.217734461,3,1.0
10,G234096,cytoplasm,0.0,0.0,0.0,2,0.0
11,G234100,nucleus,0.60127309,0.60127309,0.60127309,3,1.0
12,G234101,mitochondria,0.0,0.0,0.0,10,1.0
13,G234102,nucleus,0.0,0.0,0.0,3,0.0
14,G234103,cytoplasm,1.579860482,0.538658973,-0.0641838,32,5.0
15,G234106,nucleus,0.115813077,0.1777896769999999,-0.0619765999999999,10,2.0
16,G234107,nucleus,0.0,0.0,0.0,12,0.0
17,G234108,cytoplasm,0.739646085,0.739646085,0.739646085,3,1.0
18,G234109,plasma membrane,0.0,0.0,0.0,4,0.0
19,G234122,cytoplasm,0.0,0.0,0.0,6,0.0
20,G234123,cytoplasm,-0.670313426,-0.670313426,-0.670313426,15,1.0
21,G234124,nucleus,0.0,0.0,0.0,6,0.0
22,G234126,cytoplasm,0.0,0.0,0.0,2,0.0
23,G234128,vacuole,0.0,0.0,0.0,12,0.0
24,G234131,plasma membrane,0.0,0.0,0.0,2,0.0
25,G234139,nucleus,1.0,1.0,1.0,2,1.0
26,G234141,nucleus,1.2510339499999998,0.833400501,-0.0834393309999999,2,4.0
27,G234167,cytoskeleton,1.509935562,0.8115515609999999,0.307833642,6,3.0
28,G234169,plasma membrane,-0.661897802,-0.661897802,-0.661897802,12,1.0
29,G234170,nucleus,0.0,0.0,0.0,2,0.0
30,G234177,plasma membrane,0.0,0.0,0.0,2,0.0
31,G234178,nucleus,-0.5475104679999999,-0.5475104679999999,-0.5475104679999999,3,1.0
32,G234185,nucleus,0.0,0.0,0.0,9,0.0
33,G234191,nucleus,1.305153229,0.753626293,-0.32915143,4,4.0
34,G234194,nucleus,2.1107950010000005,0.8399797940000001,0.299363986,4,4.0
35,G234197,cytoskeleton,1.918307031,0.859871727,-0.136867397,6,5.0
36,G234201,nucleus,0.0,0.0,0.0,2,0.0
37,G234202,nucleus,0.122627189,0.081133204,0.041493985,3,2.0
38,G234205,nucleus,0.1575916809999999,0.1575916809999999,0.1575916809999999,3,1.0
39,G234206,nucleus,0.0,0.0,0.0,32,0.0
40,G234212,cytoplasm,0.426543857,0.426543857,0.426543857,3,1.0
41,G234214,nucleus,0.699865662,0.699865662,0.699865662,2,1.0
42,G234217,nucleus,0.8940584490000001,0.8940584490000001,0.8940584490000001,2,1.0
43,G234222,vacuole,0.0,0.0,0.0,20,0.0
44,G234227,plasma membrane,0.0,0.0,0.0,60,0.0
45,G234229,plasma membrane,0.0,0.0,0.0,8,0.0
46,G234232,cytoplasm,-0.088350354,-0.088350354,-0.088350354,1,1.0
47,G234234,cytoplasm,0.0,0.0,0.0,6,0.0
48,G234235,nucleus,0.0,0.0,0.0,2,0.0
49,G234240,nucleus,0.063124063,0.063124063,0.063124063,9,1.0
50,G234248,cytoplasm,0.0,0.0,0.0,5,0.0
51,G234259,nucleus,0.0,0.0,0.0,9,0.0
52,G234263,nucleus,0.0,0.0,0.0,3,0.0
53,G234265,nucleus,1.110279214,0.6648756610000001,0.445403553,2,2.0
54,G234270,nucleus,0.0,0.0,0.0,24,0.0
55,G234271,plasma membrane,0.0,0.0,0.0,5,0.0
56,G234275,nucleus,-0.347782909,-0.347782909,-0.347782909,3,1.0
57,G234276,nucleus,0.0,0.0,0.0,4,0.0
58,G234277,nucleus,-0.3396371929999999,-0.3396371929999999,-0.3396371929999999,20,1.0
59,G234285,ER,0.293070431,0.293070431,0.293070431,4,1.0
60,G234286,mitochondria,0.0,0.0,0.0,5,0.0
61,G234290,mitochondria,0.0,0.0,0.0,15,0.0
62,G234293,plasma membrane,0.288587542,0.288587542,0.288587542,8,1.0
63,G234296,cytoplasm,0.0,0.0,0.0,4,0.0
64,G234300,nucleus,0.0,0.0,0.0,3,0.0
65,G234312,nucleus,0.0,0.0,0.0,2,0.0
66,G234317,cytoskeleton,-0.467022878,-0.467022878,-0.467022878,3,1.0
67,G234323,nucleus,-0.381871879,-0.381871879,-0.381871879,3,1.0
68,G234326,golgi,0.0,0.0,0.0,2,0.0
69,G234330,nucleus,0.0,0.0,0.0,4,0.0
70,G234334,nucleus,4.664531743,1.0,-0.128716897,3,12.0
71,G234341,nucleus,0.0,0.0,0.0,4,0.0
72,G234344,golgi,0.0,0.0,0.0,4,0.0
73,G234347,nucleus,0.0,0.0,0.0,4,0.0
74,G234359,ER,0.0,0.0,0.0,3,0.0
75,G234360,cytoplasm,0.0,0.0,0.0,2,0.0
76,G234361,nucleus,0.0,0.0,0.0,9,0.0
77,G234368,cytoplasm,0.5711390569999999,0.930408711,-0.359269654,20,2.0
78,G234369,cytoplasm,0.432263371,0.432263371,0.432263371,2,1.0
79,G234371,cytoplasm,0.0,0.0,0.0,12,0.0
80,G234381,plasma membrane,0.0,0.0,0.0,6,0.0
81,G234382,nucleus,-0.7310812,-0.7310812,-0.7310812,2,1.0
82,G234392,cytoskeleton,0.769963486,0.769963486,0.769963486,24,1.0
83,G234393,golgi,0.0,0.0,0.0,10,0.0
84,G234400,cytoplasm,0.0,0.0,0.0,6,0.0
85,G234402,cytoplasm,0.0,0.0,0.0,6,0.0
86,G234406,nucleus,0.0,0.0,0.0,3,0.0
87,G234413,nucleus,0.453801892,0.233730921,0.220070971,2,2.0
88,G234415,nucleus,0.0,0.0,0.0,9,0.0
89,G234416,nucleus,0.225232063,0.225232063,0.225232063,15,1.0
90,G234418,nucleus,-0.410653605,-0.410653605,-0.410653605,9,1.0
91,G234427,nucleus,0.0,0.0,0.0,2,0.0
92,G234429,nucleus,0.0,0.0,0.0,3,0.0
93,G234430,nucleus,0.58262976,0.646192903,-0.063563143,3,2.0
94,G234437,nucleus,0.0,0.0,0.0,3,0.0
95,G234444,nucleus,1.292662022,0.774216943,0.246071261,2,3.0
96,G234445,nucleus,1.497781147,0.867867073,0.629914074,4,2.0
97,G234446,vacuole,0.0,0.0,0.0,4,0.0
98,G234448,nucleus,0.0,0.0,0.0,6,0.0
99,G234452,plasma membrane,0.0,0.0,0.0,4,0.0
100,G234455,cytoplasm,0.0,0.0,0.0,2,0.0
101,G234458,nucleus,0.0,0.0,0.0,2,0.0
102,G234465,plasma membrane,0.0,0.0,0.0,4,0.0
103,G234468,cytoplasm,0.0,0.0,0.0,2,0.0
104,G234469,nucleus,-0.060036564,-0.060036564,-0.060036564,2,1.0
105,G234486,nucleus,0.0,0.0,0.0,2,0.0
106,G234495,plasma membrane,0.496259419,0.496259419,0.496259419,3,1.0
107,G234497,cytoskeleton,0.4241461400000001,0.7387058190000001,-0.314559679,9,2.0
108,G234505,nucleus,0.425349349,0.5459008120000001,-0.120551463,6,2.0
109,G234509,ER,0.0,0.0,0.0,6,0.0
110,G234513,ER,0.288136735,0.246969418,0.041167317,4,2.0
111,G234516,plasma membrane,0.170731427,0.170731427,0.170731427,12,1.0
112,G234517,plasma membrane,-0.110120181,-0.110120181,-0.110120181,4,1.0
113,G234522,plasma membrane,-0.26334011,-0.26334011,-0.26334011,8,1.0
114,G234523,nucleus,0.0,0.0,0.0,2,0.0
115,G234525,nucleus,0.708165539,0.708165539,0.708165539,6,1.0
116,G234529,nucleus,0.0,0.0,0.0,5,0.0
117,G234533,nucleus,0.8189041309999999,0.8189041309999999,0.8189041309999999,2,1.0
118,G234535,nucleus,1.68313549,0.606461157,0.1253470069999999,6,4.0
119,G234538,plasma membrane,0.0,0.0,0.0,3,0.0
120,G234542,nucleus,0.0,0.0,0.0,2,0.0
121,G234549,nucleus,0.0,0.0,0.0,12,0.0
122,G234553,cytoplasm,2.548392111,0.89825121,0.784398319,8,3.0
123,G234554,plasma membrane,0.0,0.0,0.0,12,0.0
124,G234562,nucleus,-0.334130629,0.028384044,-0.362514673,8,2.0
125,G234563,nucleus,0.522501665,0.522501665,0.522501665,6,1.0
126,G234564,nucleus,0.0,0.0,0.0,2,0.0
127,G234572,cytoplasm,1.68903332,0.93271999,0.75631333,12,2.0
128,G234575,nucleus,0.0,0.0,0.0,4,0.0
129,G234581,cytoplasm,0.2297622,0.588783454,-0.510902937,40,4.0
130,G234586,nucleus,1.0,1.0,1.0,3,1.0
131,G234589,plasma membrane,0.0,0.0,0.0,4,0.0
132,G234591,cytoplasm,0.0,0.0,0.0,2,0.0
133,G234594,cytoplasm,0.0,0.0,0.0,6,0.0
134,G234603,transport vesicles,0.0,0.0,0.0,3,0.0
135,G234604,nucleus,0.0,0.0,0.0,9,0.0
136,G234606,golgi,0.920671097,0.920671097,0.920671097,2,1.0
137,G234610,mitochondria,-0.7298692790000001,-0.7298692790000001,-0.7298692790000001,32,1.0
138,G234613,nucleus,0.52708281,0.52708281,0.52708281,2,1.0
139,G234630,nucleus,0.0,0.0,0.0,3,0.0
140,G234635,nucleus,0.771810983,0.771810983,0.771810983,3,1.0
141,G234636,nucleus,0.0,0.0,0.0,4,0.0
142,G234638,nucleus,0.0,0.0,0.0,2,0.0
143,G234640,ER,0.0,0.0,0.0,12,0.0
144,G234642,vacuole,0.0,0.0,0.0,15,0.0
145,G234644,nucleus,0.605186121,0.605186121,0.605186121,6,1.0
146,G234652,nucleus,0.0,0.0,0.0,16,0.0
147,G234654,nucleus,0.0,0.0,0.0,8,0.0
148,G234656,ER,0.0,0.0,0.0,4,0.0
149,G234659,cytoplasm,-0.2629612109999999,1.0,-0.717091933,9,3.0
150,G234665,peroxisome,-0.5099797660000001,-0.5099797660000001,-0.5099797660000001,4,1.0
151,G234666,cytoplasm,0.8005751170000001,0.8005751170000001,0.8005751170000001,4,1.0
152,G234677,golgi,0.0,0.0,0.0,12,0.0
153,G234681,nucleus,1.531907973,1.0,0.241592767,3,3.0
154,G234684,nucleus,0.7410706909999999,0.7410706909999999,0.7410706909999999,12,1.0
155,G234687,cytoplasm,0.531135785,0.531135785,0.531135785,6,1.0
156,G234692,nucleus,0.832358145,0.832358145,0.832358145,3,1.0
157,G234700,cytoplasm,0.0,0.0,0.0,8,0.0
158,G234702,integral membrane,0.0,0.0,0.0,2,0.0
159,G234715,nucleus,0.373344426,0.373344426,0.373344426,10,1.0
160,G234716,cytoplasm,0.0,0.0,0.0,8,0.0
161,G234722,nucleus,0.0,0.0,0.0,3,0.0
162,G234725,nucleus,0.0,0.0,0.0,4,0.0
163,G234732,cytoskeleton,0.593515711,0.593515711,0.593515711,8,1.0
164,G234733,cytoplasm,0.8811715809999999,0.8811715809999999,0.8811715809999999,3,1.0
165,G234735,plasma membrane,0.340847808,0.340847808,0.340847808,18,1.0
166,G234737,cytoplasm,0.0,0.0,0.0,8,0.0
167,G234744,nucleus,0.0,0.0,0.0,2,0.0
168,G234746,nucleus,1.808347295,0.7032236059999999,0.508740191,4,3.0
169,G234749,cytoplasm,0.0,0.0,0.0,2,0.0
170,G234754,plasma membrane,1.1811312860000005,1.0,-0.755516667,20,8.0
171,G234756,mitochondria,0.0,0.0,0.0,30,0.0
172,G234762,nucleus,0.0,0.0,0.0,4,0.0
173,G234763,cytoplasm,0.434984638,0.470959973,-0.035975335,12,2.0
174,G234764,vacuole,0.0,0.0,0.0,10,0.0
175,G234767,plasma membrane,0.0,0.0,0.0,4,0.0
176,G234768,transport vesicles,0.0,0.0,0.0,2,0.0
177,G234769,cytoplasm,0.0,0.0,0.0,6,0.0
178,G234772,cytoplasm,-0.451020835,-0.451020835,-0.451020835,3,1.0
179,G234779,cytoskeleton,0.0,0.0,0.0,8,2.0
180,G234786,nucleus,0.7593013609999999,0.939910092,-0.180608731,8,2.0
181,G234787,plasma membrane,-0.3875232870000001,-0.3875232870000001,-0.3875232870000001,4,1.0
182,G234788,nucleus,0.0,0.0,0.0,2,0.0
183,G234804,mitochondria,0.0,0.0,0.0,6,0.0
184,G234811,cytoskeleton,0.127651916,0.127651916,0.0,6,2.0
185,G234812,nucleus,-0.145825626,-0.145825626,-0.145825626,3,1.0
186,G234823,cytoplasm,0.1856378009999999,0.882405015,-0.6967672140000001,4,2.0
187,G234824,cytoplasm,-0.648296496,0.297068506,-0.758373594,2,3.0
188,G234829,mitochondria,0.0,0.0,0.0,3,0.0
189,G234830,cytoplasm,0.258710106,0.258710106,0.258710106,4,1.0
190,G234831,plasma membrane,0.0,0.0,0.0,5,0.0
191,G234839,cytoskeleton,0.743719262,0.743719262,0.743719262,18,1.0
192,G234849,nucleus,1.675590224,0.6499683270000001,0.498144529,4,3.0
193,G234850,nucleus,0.671832167,0.671832167,0.671832167,2,1.0
194,G234854,ER,0.0,0.0,0.0,15,0.0
195,G234858,golgi,0.0,0.0,0.0,8,0.0
196,G234860,plasma membrane,0.0,0.0,0.0,15,0.0
197,G234862,nucleus,0.0,0.0,0.0,3,0.0
198,G234863,nucleus,-0.345456419,-0.345456419,-0.345456419,2,1.0
199,G234865,cytoplasm,0.0,0.0,0.0,8,0.0
200,G234867,nucleus,1.62517281,0.945980613,0.679192197,2,2.0
201,G234868,plasma membrane,0.0,0.0,0.0,8,0.0
202,G234876,cytoplasm,0.0,0.0,0.0,2,0.0
203,G234878,golgi,0.0,0.0,0.0,12,0.0
204,G234880,nucleus,0.0,0.0,0.0,2,0.0
205,G234882,nucleus,0.0,0.0,0.0,8,0.0
206,G234890,nucleus,1.0,1.0,1.0,3,1.0
207,G234894,nucleus,0.797592713,0.797592713,0.797592713,6,1.0
208,G234895,nucleus,-0.231570436,0.474741056,-0.706311492,4,2.0
209,G234906,nucleus,0.574722715,0.574722715,0.574722715,2,1.0
210,G234907,nucleus,0.0,0.0,0.0,2,0.0
211,G234908,cytoplasm,0.0,0.0,0.0,4,0.0
212,G234909,plasma membrane,0.0,0.0,0.0,8,0.0
213,G234910,nucleus,0.0,0.0,0.0,3,0.0
214,G234914,nucleus,2.5272055580000004,0.915563826,0.744300229,4,3.0
215,G234915,nucleus,-0.111404792,-0.111404792,-0.111404792,3,1.0
216,G234918,plasma membrane,-0.515443375,-0.515443375,-0.515443375,4,1.0
217,G234926,nucleus,-0.301378981,-0.301378981,-0.301378981,2,1.0
218,G234932,cytoplasm,0.0,0.0,0.0,6,0.0
219,G234933,mitochondria,-0.672788843,-0.672788843,-0.672788843,2,1.0
220,G234934,nucleus,1.627167579,0.906514059,0.72065352,3,2.0
221,G234935,nucleus,0.07647432,0.497814721,-0.460856268,2,5.0
222,G234936,nucleus,1.338025594,0.840178841,0.03137217,18,3.0
223,G234943,plasma membrane,0.0,0.0,0.0,5,0.0
224,G234946,nucleus,0.0,0.0,0.0,2,0.0
225,G234949,cytoplasm,0.972494716,0.972494716,0.972494716,2,1.0
226,G234953,nucleus,0.8487387590000001,0.8487387590000001,0.8487387590000001,2,1.0
227,G234954,plasma membrane,0.913865546,0.913865546,0.913865546,10,1.0
228,G234955,nucleus,0.391697051,0.391697051,0.391697051,2,1.0
229,G234959,cytoplasm,0.605126425,0.605126425,0.605126425,3,1.0
230,G234960,cytoplasm,0.0,0.0,0.0,3,0.0
231,G234964,cytoplasm,0.287834569,0.287834569,0.287834569,4,1.0
232,G234967,plasma membrane,0.6037542920000001,0.6037542920000001,0.6037542920000001,3,1.0
233,G234973,ER,0.0,0.0,0.0,12,0.0
234,G234975,cytoplasm,0.595014436,0.595014436,0.595014436,2,1.0
235,G234980,nucleus,0.5331516129999999,0.6146961879999999,-0.081544575,4,2.0
236,G234983,cytoskeleton,-0.0684342670000001,0.6122805729999999,-0.436643926,8,7.0
237,G234993,nucleus,0.0,0.0,0.0,4,0.0
238,G234994,nucleus,0.0,0.0,0.0,3,0.0
239,G235004,nucleus,0.0,0.0,0.0,12,0.0
240,G235005,cytoplasm,0.0,0.0,0.0,2,0.0
241,G235006,cytoplasm,0.0,0.0,0.0,2,0.0
242,G235011,mitochondria,0.8298904570000001,0.8298904570000001,0.8298904570000001,5,1.0
243,G235012,nucleus,-0.5971194360000001,-0.025039646,-0.57207979,4,2.0
244,G235014,nucleus,1.260911878,0.705859881,0.5550519970000001,3,2.0
245,G235019,nucleus,0.0,0.0,0.0,2,0.0
246,G235025,nucleus,0.651514276,0.779363565,-0.127849289,8,2.0
247,G235027,cytoskeleton,0.0,0.0,0.0,3,0.0
248,G235034,cytoskeleton,0.0,0.0,0.0,3,0.0
249,G235035,transport vesicles,0.164728481,0.164728481,0.164728481,2,1.0
