,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
0,G234064,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,PS00824,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
1,G234064,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,PS00824,1,PROTEIN SYNTHESIS,cytoplasm,1
2,G234064,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,PS00825,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
3,G234064,Essential,GTP/GDP-exchange factors (GEFs),Translation complexes,?,PS00825,1,PROTEIN SYNTHESIS,cytoplasm,1
4,G234065,Non-Essential,ATPases,?,?,?,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,1
5,G234065,Non-Essential,ATPases,?,?,?,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
6,G234065,Non-Essential,ATPases,?,?,?,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,1
7,G234065,Non-Essential,ATPases,?,?,?,1,PROTEIN DESTINATION,cytoplasm,1
8,G234065,Non-Essential,Molecular chaperones,?,?,?,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,1
9,G234065,Non-Essential,Molecular chaperones,?,?,?,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
10,G234065,Non-Essential,Molecular chaperones,?,?,?,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,1
11,G234065,Non-Essential,Molecular chaperones,?,?,?,1,PROTEIN DESTINATION,cytoplasm,1
12,G234070,Non-Essential,ATPases,Cytoskeleton,Mating and sporulation defects,PS00017,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,1
13,G234070,Non-Essential,ATPases,Cytoskeleton,Mating and sporulation defects,PS00017,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
14,G234070,Non-Essential,ATPases,Cytoskeleton,Mating and sporulation defects,PS00017,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,1
15,G234070,Non-Essential,Motorproteins,Cytoskeleton,Mating and sporulation defects,PS00017,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,1
16,G234070,Non-Essential,Motorproteins,Cytoskeleton,Mating and sporulation defects,PS00017,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,1
17,G234070,Non-Essential,Motorproteins,Cytoskeleton,Mating and sporulation defects,PS00017,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,1
18,G234073,Non-Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,PS00013,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,1
19,G234073,Non-Essential,Cyclins,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,PS00013,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
20,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,PS00741,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,1
21,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,PS00741,1,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,1
22,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Cell morphology and organelle mutants,PS00741,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
23,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Conditional phenotypes,PS00741,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,1
24,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Conditional phenotypes,PS00741,1,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,1
25,G234074,Essential,GTP/GDP-exchange factors (GEFs),?,Conditional phenotypes,PS00741,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
