,GeneID1_GeneID2,GeneID1,GeneID2,Type,Expression_Corr,add_numerical
0,G234064_G234126,G234064,G234126,Genetic-Physical,0.914095071,0.914095071
1,G234064_G235065,G234064,G235065,Genetic-Physical,0.751584888,0.751584888
2,G234065_G234371,G234065,G234371,Genetic,0.823773738,0.823773738
3,G234065_G234854,G234065,G234854,Physical,0.939001091,0.939001091
4,G234073_G234065,G234073,G234065,Physical,0.749192312,0.749192312
5,G234073_G234084,G234073,G234084,Genetic,0.611960418,0.611960418
6,G234073_G234700,G234073,G234700,Physical,0.596091968,0.596091968
7,G234073_G234854,G234073,G234854,Physical,0.54176406,0.54176406
8,G234073_G237843,G234073,G237843,Genetic,0.511455844,0.511455844
9,G234073_G239976,G234073,G239976,Physical,0.358223557,0.358223557
10,G234074_G234465,G234074,G234465,Genetic-Physical,0.3891480020000001,0.3891480020000001
11,G234074_G234642,G234074,G234642,Genetic,0.7002015429999999,0.7002015429999999
12,G234074_G234735,G234074,G234735,Genetic-Physical,0.630195718,0.630195718
13,G234074_G234967,G234074,G234967,Physical,0.370059063,0.370059063
14,G234076_G234994,G234076,G234994,Physical,-0.536899911,-0.536899911
15,G234085_G235573,G234085,G235573,Physical,0.026929321,0.026929321
16,G234085_G235865,G234085,G235865,Physical,-0.108075014,-0.108075014
17,G234089_G234109,G234089,G234109,Genetic,0.7288042290000001,0.7288042290000001
18,G234093_G235490,G234093,G235490,Physical,-0.217734461,-0.217734461
19,G234100_G234932,G234100,G234932,Genetic,0.60127309,0.60127309
20,G234101_G234290,G234101,G234290,Physical,0.0,0.0
21,G234103_G234361,G234103,G234361,Genetic,-0.0641838,-0.0641838
22,G234103_G234529,G234103,G234529,Genetic,0.538658973,0.538658973
23,G234103_G235080,G234103,G235080,Physical,0.204707401,0.204707401
24,G234103_G235801,G234103,G235801,Genetic,0.456662382,0.456662382
25,G234103_G237936,G234103,G237936,Genetic,0.444015526,0.444015526
26,G234106_G234107,G234106,G234107,Physical,0.1777896769999999,0.1777896769999999
27,G234106_G234850,G234106,G234850,Physical,-0.0619765999999999,-0.0619765999999999
28,G234108_G235680,G234108,G235680,Physical,0.739646085,0.739646085
29,G234123_G234248,G234123,G234248,Genetic,-0.670313426,-0.670313426
30,G234139_G234139,G234139,G234139,Physical,1.0,1.0
31,G234141_G234341,G234141,G234341,Physical,0.833400501,0.833400501
32,G234141_G234458,G234141,G234458,Physical,-0.0834393309999999,-0.0834393309999999
33,G234141_G234533,G234141,G234533,Physical,0.564706878,0.564706878
34,G234141_G235358,G234141,G235358,Physical,-0.063634098,-0.063634098
35,G234167_G234317,G234167,G234317,Physical,0.307833642,0.307833642
36,G234167_G235469,G234167,G235469,Physical,0.8115515609999999,0.8115515609999999
37,G234167_G237213,G234167,G237213,Genetic,0.390550359,0.390550359
38,G234169_G234868,G234169,G234868,Physical,-0.661897802,-0.661897802
39,G234178_G235182,G234178,G235182,Physical,-0.5475104679999999,-0.5475104679999999
40,G234191_G234141,G234191,G234141,Physical,0.335777461,0.335777461
41,G234191_G234341,G234191,G234341,Physical,0.544900905,0.544900905
42,G234191_G234533,G234191,G234533,Physical,-0.32915143,-0.32915143
