,CountryCode_Language,CountryCode,Language,IsOfficial,Percentage,add_numerical
0,ABW_Dutch,ABW,Dutch,T,5.3,5.3
1,ABW_English,ABW,English,F,9.5,9.5
2,ABW_Papiamento,ABW,Papiamento,F,76.7,76.7
3,ABW_Spanish,ABW,Spanish,F,7.4,7.4
4,AFG_Balochi,AFG,Balochi,F,0.9,0.9
5,AFG_Dari,AFG,Dari,T,32.1,32.1
6,AFG_Pashto,AFG,Pashto,T,52.4,52.4
7,AFG_Turkmenian,AFG,Turkmenian,F,1.9,1.9
8,AFG_Uzbek,AFG,Uzbek,F,8.8,8.8
9,AGO_Ambo,AGO,Ambo,F,2.4,2.4
10,AGO_Chokwe,AGO,Chokwe,F,4.2,4.2
11,AGO_Kongo,AGO,Kongo,F,13.2,13.2
12,AGO_Luchazi,AGO,Luchazi,F,2.4,2.4
13,AGO_Luimbe-nganguela,AGO,Luimbe-nganguela,F,5.4,5.4
14,AGO_Luvale,AGO,Luvale,F,3.6,3.6
15,AGO_Mbundu,AGO,Mbundu,F,21.6,21.6
16,AGO_Nyaneka-nkhumbi,AGO,Nyaneka-nkhumbi,F,5.4,5.4
17,AGO_Ovimbundu,AGO,Ovimbundu,F,37.2,37.2
18,AIA_English,AIA,English,T,0.0,0.0
19,ALB_Albaniana,ALB,Albaniana,T,97.9,97.9
20,ALB_Greek,ALB,Greek,F,1.8,1.8
21,ALB_Macedonian,ALB,Macedonian,F,0.1,0.1
22,AND_Catalan,AND,Catalan,T,32.3,32.3
23,AND_French,AND,French,F,6.2,6.2
24,AND_Portuguese,AND,Portuguese,F,10.8,10.8
25,AND_Spanish,AND,Spanish,F,44.6,44.6
26,ANT_Dutch,ANT,Dutch,T,0.0,0.0
27,ANT_English,ANT,English,F,7.8,7.8
28,ANT_Papiamento,ANT,Papiamento,T,86.2,86.2
29,ARE_Arabic,ARE,Arabic,T,42.0,42.0
30,ARE_Hindi,ARE,Hindi,F,0.0,0.0
31,ARG_Indian Languages,ARG,Indian Languages,F,0.3,0.3
32,ARG_Italian,ARG,Italian,F,1.7,1.7
33,ARG_Spanish,ARG,Spanish,T,96.8,96.8
34,ARM_Armenian,ARM,Armenian,T,93.4,93.4
35,ARM_Azerbaijani,ARM,Azerbaijani,F,2.6,2.6
36,ASM_English,ASM,English,T,3.1,3.1
37,ASM_Samoan,ASM,Samoan,T,90.6,90.6
38,ASM_Tongan,ASM,Tongan,F,3.1,3.1
39,ATG_Creole English,ATG,Creole English,F,95.7,95.7
40,ATG_English,ATG,English,T,0.0,0.0
41,AUS_Arabic,AUS,Arabic,F,1.0,1.0
42,AUS_Canton Chinese,AUS,Canton Chinese,F,1.1,1.1
43,AUS_English,AUS,English,T,81.2,81.2
44,AUS_German,AUS,German,F,0.6,0.6
45,AUS_Greek,AUS,Greek,F,1.6,1.6
46,AUS_Italian,AUS,Italian,F,2.2,2.2
47,AUS_Serbo-Croatian,AUS,Serbo-Croatian,F,0.6,0.6
48,AUS_Vietnamese,AUS,Vietnamese,F,0.8,0.8
49,AUT_Czech,AUT,Czech,F,0.2,0.2
50,AUT_German,AUT,German,T,92.0,92.0
51,AUT_Hungarian,AUT,Hungarian,F,0.4,0.4
52,AUT_Polish,AUT,Polish,F,0.2,0.2
53,AUT_Romanian,AUT,Romanian,F,0.2,0.2
54,AUT_Serbo-Croatian,AUT,Serbo-Croatian,F,2.2,2.2
55,AUT_Slovene,AUT,Slovene,F,0.4,0.4
56,AUT_Turkish,AUT,Turkish,F,1.5,1.5
57,AZE_Armenian,AZE,Armenian,F,2.0,2.0
58,AZE_Azerbaijani,AZE,Azerbaijani,T,89.0,89.0
59,AZE_Lezgian,AZE,Lezgian,F,2.3,2.3
60,AZE_Russian,AZE,Russian,F,3.0,3.0
61,BDI_French,BDI,French,T,0.0,0.0
62,BDI_Kirundi,BDI,Kirundi,T,98.1,98.1
63,BDI_Swahili,BDI,Swahili,F,0.0,0.0
64,BEL_Arabic,BEL,Arabic,F,1.6,1.6
65,BEL_Dutch,BEL,Dutch,T,59.2,59.2
66,BEL_French,BEL,French,T,32.6,32.6
67,BEL_German,BEL,German,T,1.0,1.0
68,BEL_Italian,BEL,Italian,F,2.4,2.4
69,BEL_Turkish,BEL,Turkish,F,0.9,0.9
70,BEN_Adja,BEN,Adja,F,11.1,11.1
71,BEN_Aizo,BEN,Aizo,F,8.7,8.7
